"STAID","max90","DRAIN_SQKM","PPTAVG_BASIN","T_AVG_BASIN","T_AVG_SITE","RH_BASIN","MAR_PPT7100_CM","RRMEDIAN"
"13313000",3961,561.9358,111.9742,2.539529,3.9,63.94161,12.569,0.561855670103093
"13337000",24240,3053.417,129.8374,3.996655,8.8,65.97108,12.51258,0.532345013477089
"14020000",3423,341.4267,105.7788,7.095311,8.4,63.3092,11.99607,0.602714932126697
"14137000",21010,674.2395,229.2265,7.102941,11,70.23978,23.27182,0.253988513082323
"14141500",2231,59.8653,273.1789,9.474654,11.1,70.22613,28.71826,0.49478672985782
"14154500",12940,546.8105,165.6754,9.809835,10.7,71.94403,18.78715,0.383759004584152
"14158500",2000,237.0771,218.4857,6.904483,8.2,66.50974,23.41368,0.254370629370629
"14166500",4743,226.5246,153.802,11.48219,11.3,73.44016,18.12395,0.22156862745098
"14182500",14530,286.8498,224.2536,8.725688,10.1,70.21147,24.07778,0.427391603578802
"14185000",15670,458.1774,214.0177,8.803032,10.3,69.08873,22.73428,0.469922151450814
"14222500",10530,323.8893,334.1678,9.642802,10.4,68.88848,35.04543,0.347611202635914
"14236200",13310,360.9936,214.1064,8.716098,9.6,70.62524,22.15775,0.387689848121503
"14301000",37170,1743.544,242.6986,9.435859,9.9,77.05504,26.4702,0.287696577243293
"14301500",21930,417.5676,320.3733,9.159267,10.3,77.88465,35.58389,0.449183303085299
"14305500",23730,526.3299,283.6101,9.598534,10.8,74.50171,31.65022,0.312320916905444
"14306500",23160,857.1636,210.8768,11.58046,11.9,73.79094,23.88484,0.221678891605542
"14309500",6867,224.9208,135.5243,10.81526,11.1,71.13673,16.21211,0.413827655310621
"14316700",15530,587.8989,151.9316,10.13223,10.8,70.79336,17.48239,0.388019060585432
"14325000",17630,443.0745,227.2745,11.39919,11.9,70.30076,27.80614,0.540494458653026
